## Name,Level,Type,Weight,Mana,Price,Effect,Stacks,Special,Stacks,Sentinel
## Shields,,,,,,,,,,
Cheap Shield,1,Shield,1,0,10,Armor,1,,,
Iron Shield,2,Shield,2,0,20,Armor,2,,,
Buckler,2,Shield,1,0,15,Armor,1,,,
Layered Shield,3,Shield,2,0,30,Armor,3,,,
Enforced Shield,3,Shield,3,0,40,Armor,5,,,
Steel Shield,4,Shield,2,0,40,Armor,4,,,
Stiff Buckler,4,Shield,1,0,35,Armor,2,,,
Plate Shield,5,Shield,2,0,50,Armor,5,,,
Buckler,6,Shield,1,0,55,Armor,4,,,
Reinforced Shield,6,Shield,3,0,70,Armor,8,,,
Infantry Shield,7,Shield,2,0,70,Armor,6,,,
Scout Shield,8,Shield,1,0,75,Armor,5,,,
Battle Shield,9,Shield,2,0,90,Armor,7,,,
Wall Shield,10,Shield,3,0,110,Armor,9,,,
## Bows,,,,,,,,,,
Practice Bow,1,Bow,2,0,10,Damage,5,,,
Cheap Bow,1,Bow,3,0,15,Damage,6,,,
Plain Bow,2,Bow,2,0,20,Damage,6,,,
Simple Bow,2,Bow,3,0,25,Damage,7,,,
Hunter Bow,3,Bow,2,0,30,Damage,7,,,
Modest Bow,3,Bow,3,0,35,Damage,8,,,
Stealth Bow,4,Bow,2,0,40,Damage,8,,,
Squire Bow,4,Bow,3,0,45,Damage,9,,,
Thief Bow,5,Bow,2,0,50,Damage,9,,,
Battle Bow,5,Bow,3,0,55,Damage,10,,,
Rogue Bow,6,Bow,2,0,60,Damage,10,,,
Soldier Bow,6,Bow,3,0,65,Damage,11,,,
Silent Bow,7,Bow,2,0,70,Damage,11,,,
Knight Bow,7,Bow,3,0,75,Damage,12,,,
Night Bow,8,Bow,2,0,80,Damage,12,,,
Royal Bow,8,Bow,3,0,85,Damage,13,,,
Darkness Bow,9,Bow,2,0,90,Damage,13,,,
Grand Bow,9,Bow,3,0,95,Damage,14,,,
Shadow Bow,10,Bow,2,0,100,Damage,14,,,
Imposing Bow,10,Bow,3,0,105,Damage,15,,,
Umbral Bow,10,Bow,2,0,110,Damage,15,,,
Godlike Bow,10,Bow,3,0,115,Damage,16,,,
Abyssal Bow,10,Bow,2,0,120,Damage,16,,,
## Foci,,,,,,,,,,
Nice Ring,1,Focus,1,0,10,Focus,1,,,
Nice Staff,1,Focus,2,0,15,Focus,1,Aura,1,
Fine Ring,2,Focus,1,0,20,Focus,1,,,
Fine Staff,2,Focus,2,0,25,Focus,1,Aura,1,
Expensive Ring,3,Focus,1,0,30,Focus,2,,,
Expensive Staff,3,Focus,2,0,35,Focus,2,Aura,1,
Formal Ring,4,Focus,1,0,40,Focus,2,,,
Formal Staff,4,Focus,2,0,45,Focus,2,Aura,1,
Twinkling Ring,5,Focus,1,0,50,Focus,3,,,
Twinkling Staff,5,Focus,2,0,55,Focus,3,Aura,2,
Shimmering Ring,6,Focus,1,0,60,Focus,3,,,
Shimmering Staff,6,Focus,2,0,65,Focus,3,Aura,2,
Sparkling Ring,7,Focus,1,0,70,Focus,4,,,
Sparkling Staff,7,Focus,2,0,75,Focus,4,Aura,2,
Glowing Ring,8,Focus,1,0,80,Focus,4,,,
Glowing Staff,8,Focus,2,0,85,Focus,4,Aura,2,
Shining Ring,9,Focus,1,0,90,Focus,5,,,
Shining Staff,9,Focus,2,0,95,Focus,5,Aura,3,
Brilliant Ring,10,Focus,1,0,100,Focus,6,,,
Brilliant Staff,10,Focus,2,0,105,Focus,6,Aura,3,
Lustrous Ring,10,Focus,1,0,110,Focus,7,,,
Lustrous Staff,10,Focus,2,0,115,Focus,7,Aura,4,
Infinite Mind,10,Focus,3,0,120,Focus,8,Aura,5,
