## Name,Level,Type,Weight,Mana,Price,Effect,Stacks,Special,Stacks,Sentinel
## Armor,,,,,,,,,,
Chain Armor,1,Armor,3,0,12,Armor,4,,,
Hide Armor,1,Armor,2,0,10,Armor,2,,,
Iron Armor,2,Armor,3,0,17,Armor,6,,,
Leather Armor,2,Armor,2,0,15,Armor,4,,,
Layered Armor,3,Armor,3,0,20,Armor,8,,,
Studded Armor,4,Armor,3,0,35,Armor,10,,,
Steel Armor,4,Armor,2,0,30,Armor,8,,,
Plate Armor,5,Armor,3,0,45,Armor,12,,,
Heavy Armor,5,Armor,2,0,40,Armor,10,,,
Armor,6,Armor,3,0,55,Armor,14,,,
Armor,7,Armor,3,0,80,Armor,16,,,
Armor,7,Armor,2,0,70,Armor,14,,,
Armor,8,Armor,3,0,100,Armor,18,,,
Armor,8,Armor,2,0,90,Armor,16,,,
Armor,9,Armor,3,0,110,Armor,20,,,
Unyielding Armor,10,Armor,3,0,150,Armor,22,,,
Impenetrable Armor,10,Armor,2,0,140,Armor,20,,,
Impervious Armor,10,Armor,4,0,170,Armor,25,,,
## Cloak,,,,,,,,,,
Shoulder Cloak,1,Cloak,1,0,10,Armor,1,,,
Light Overcoat,2,Cloak,1,0,15,Armor,3,,,
Leather Cloak,3,Cloak,1,0,20,Armor,5,,,
Thief Cloak,4,Cloak,1,0,30,Armor,7,,,
Stealth Cloak,5,Cloak,1,0,40,Armor,9,,,
Rouge Cloak,6,Cloak,1,0,55,Armor,11,,,
Silent Cloak,7,Cloak,1,0,70,Armor,13,,,
Night Cloak,8,Cloak,1,0,90,Armor,15,,,
Darkness Cloak,9,Cloak,1,0,110,Armor,17,,,
Shadow Cloak,10,Cloak,1,0,140,Armor,19,,,
## Robe,,,,,,,,,,
Simple Robe,1,Robe,1,0,10,Maximum Mana,1,,,
Nice Robe,2,Robe,1,0,15,Maximum Mana,2,,,
Expensive Robe,3,Robe,1,0,20,Maximum Mana,3,,,
Formal Robe,4,Robe,1,0,30,Maximum Mana,4,,,
Flowing Robe,5,Robe,1,0,40,Maximum Mana,5,,,
Shimmering Robe,6,Robe,1,0,55,Maximum Mana,6,,,
Sparkling Robe,7,Robe,1,0,70,Maximum Mana,7,,,
Glowing Robe,8,Robe,1,0,90,Maximum Mana,8,,,
Shining Robe,9,Robe,1,0,110,Maximum Mana,9,,,
Brilliant Robe,10,Robe,1,0,140,Maximum Mana,10,,,
