## Name,Level,Type,Weight,Mana,Price,Effect,Stacks,Special,Stacks,Sentinel
## Defaults,,,,,,,,,,
Empty,0,Empty,0,0,0,Damage,0,,,
Unarmed,0,Unarmed,0,0,0,Damage,1,,,
## Enemy Item,,,,,,,,,,
Bite,0,Melee,0,0,0,Damage,1,,,
Chomp,0,Melee,0,0,0,Damage,3,,,
Scratch,0,Melee,0,0,0,Damage,2,,,
Claw,0,Melee,0,0,0,Damage,3,,,
Maul,0,Melee,0,0,0,Damage,5,,,
Tail Whip,0,Melee,0,0,0,Damage,1,,,
Push,0,Melee,0,0,0,Damage,2,,,
Throw,0,Melee,0,0,0,Damage,5,,,
Screech,0,Spell,0,1,0,Weakness,2,,,
Poison Dart,0,Potion,0,0,0,Pierce,2,Poison,4,
Burning Slime,0,Spell,0,1,0,Burn,2,,,
Venomous Bite,0,Melee,0,0,0,Damage,1,Poison,2,
Venomous Snap,0,Melee,0,0,0,Damage,3,Poison,2,
Boulder Smash,0,Melee,0,0,0,Damage,10,,,
## Enemy Clothing,,,,,,,,,,
Hide,0,Armor,0,0,0,Armor,2,,,
Thick Hide,0,Armor,0,0,0,Armor,4,,,
Shell,0,Armor,0,0,0,Armor,4,,,
Thick Shell,0,Armor,0,0,0,Armor,7,,,
Ethereal,0,Armor,0,0,0,Armor,7,,,
