## Name,Level,Type,Weight,Mana,Price,Effect,Stacks,Special,Stacks,Sentinel
## Melee,,,,,,,,,,
Small Sword,1,Melee,2,0,10,Damage,3,,,
Small Dagger,1,Melee,1,0,7,Pierce,2,,,
Spiked Club,2,Melee,3,0,15,Damage,4,Bleed,2,
Sword,2,Melee,2,0,20,Damage,4,,,
Battle Axe,2,Melee,3,0,30,Damage,6,,,
Honed Sword,3,Melee,2,0,30,Damage,5,,,
Honed Dagger,3,Melee,1,0,20,Pierce,3,,,
Soldier's Sword,4,Melee,2,0,40,Damage,6,,,
Soldier's Axe,4,Melee,3,0,50,Damage,8,,,
Battle Sword,5,Melee,2,0,50,Damage,7,,,
Razored Dagger,5,Melee,1,0,40,Pierce,4,,,
## Quiver,,,,,,,,,,
Practice Arrows,1,Quiver,1,0,10,Damage,4,,,
Simple Arrows,2,Quiver,1,0,20,Damage,5,,,
Straight Arrows,3,Quiver,1,0,30,Damage,6,,,
Fletched Arrows,4,Quiver,1,0,40,Damage,7,,,
Stiffened Arrows,5,Quiver,1,0,50,Damage,8,,,
Honed Arrows,6,Quiver,1,0,60,Damage,9,,,
Jagged Arrows,7,Quiver,1,0,70,Damage,10,,,
## Scrolls,,,,,,,,,,
Scroll of Burning,1,Scroll,1,0,20,Burn,5,,,
Scroll of Protection,1,Scroll,1,0,20,Shield,5,,,
Scroll of Regeneration,1,Scroll,1,0,20,Regeneration,5,,,
## Spells,,,,,,,,,,
Flaming Fist,1,Spell,1,1,15,Damage,4,Burn,3,
Ward,1,Spell,1,1,15,Shield,2,,,
Magic Missile,1,Spell,1,2,20,Pierce,5,,,
Burning Touch,2,Spell,1,1,20,Burn,4,,,
Spark,2,Spell,1,4,20,Damage,10,,,
Fiery Flury,3,Spell,1,2,30,Damage,7,Burn,4,
Force of Nature,3,Spell,1,3,40,Damage,7,Poison,5,
Savior's Grace,3,Spell,1,4,60,Heal,4,Regeneration,3,
Stable Ward,4,Spell,1,3,30,Wall,2,,,
Healing Ward,4,Spell,1,2,40,Shield,2,Regeneration,2,
Multi Missile,5,Spell,1,5,50,Pierce,15,,,
Fireball,6,Spell,1,8,76,Damage,30,Burn,5,
